epoch,phase,train_loss,val_loss,val_f1_macro,val_f1_micro,lr,time_sec
1,1,1.3558652735392254,1.3536925706863403,0.10147575461747514,0.10648428707471215,0.001,509.9889214038849
2,1,1.2256414120992025,1.3920228490829467,0.11163033799030815,0.1166083117673923,0.001,242.3054735660553
3,1,1.1864820376714071,1.3335624599456788,0.11038929455359227,0.12023144061979013,0.001,246.2760350704193
4,1,1.169661923535665,1.319295093536377,0.10739592779131224,0.11219443266921011,0.001,240.84452438354492
5,2,1.1874878850618997,1.6184619207382203,0.1139261925667748,0.13321836602716103,0.0001,249.3886477947235
6,2,1.0502251967748006,1.321335852622986,0.10963403674366405,0.12473118279569892,0.0001,244.0884358882904
7,2,0.9647935787836711,1.2610751848220825,0.13201140620241453,0.152190524707081,0.0001,243.9348704814911
8,2,0.8688495592435201,1.382195077896118,0.1388096616358609,0.16754627220694268,0.0001,247.7775661945343
9,2,0.7609069662094117,1.4179314298629762,0.1376830157916938,0.17638472766382424,0.0001,248.02450585365295
10,2,0.7085912585258484,1.6468876285552978,0.1488777010637957,0.17151888204957577,5e-05,242.0871706008911
11,2,0.6209911901473999,1.5616535487174987,0.15696385553059605,0.20364538601011548,5e-05,245.99415564537048
